name,url,fetcher,source_url,tz,params,enabled,note
뷰저블,https://www.beusable.net/blog/,feed,https://www.beusable.net/blog/?feed=rss2,Asia/Seoul,,1,
NHN,https://meetup.nhncloud.com/,feed,https://meetup.nhncloud.com/rss,Asia/Seoul,,1,
SK플래닛,https://techtopic.skplanet.com/,feed,https://techtopic.skplanet.com/rss.xml,Asia/Seoul,,1,
SK텔레콤 DEVOCEAN,https://devocean.sk.com/,html_list,https://devocean.sk.com/,Asia/Seoul,"{""article_regex"": ""^/[^/]+/[^/]+\\.do/?$"", ""date_from"": ""list""}",1,unparsed: posts sit behind .do endpoints with no article metadata
삼성전자,https://techblog.samsung.com/,feed,https://techblog.samsung.com/rss,Asia/Seoul,,1,
삼성SDS(insight),https://www.samsungsds.com/kr/insights/index.html,html_list,https://www.samsungsds.com/kr/insights/index.html,Asia/Seoul,"{""article_regex"": ""^/kr/[^/]+/[^/]+\\.html/?$"", ""date_from"": ""detail"", ""title_strip"": "" | 인사이트리포트 | 삼성SDS""}",1,
삼성SDS,https://www.samsungsds.com/en/research-blog/index.html,html_list,https://www.samsungsds.com/en/research-blog/index.html,Asia/Seoul,"{""article_regex"": ""^/en/[^/]+/[^/]+\\.html/?$"", ""date_from"": ""list""}",1,unparsed: English research-blog listing exposes no article links
LG CNS,https://www.lgcns.com/kr/moa/insight,html_list,https://www.lgcns.com/kr/moa/insight,Asia/Seoul,"{""article_regex"": ""^/kr/moa/[^/]+/[^/]+/?$"", ""date_from"": ""list""}",1,unparsed: listing is built client-side; no article links in the HTML
한글과컴퓨터,https://tech.hancom.com/,feed,https://tech.hancom.com/feed/,Asia/Seoul,,1,
클라우드메이트,https://tech.cloudmt.co.kr/,feed,https://techblog.ahnlabcloudmate.com/rss/,Asia/Seoul,,1,
농심데이터시스템,https://tech.cloud.nongshim.co.kr/Post/,feed,https://tech.cloud.nongshim.co.kr/feed/,Asia/Seoul,,1,
하이퍼커넥트,https://hyperconnect.github.io/,feed,https://hyperconnect.github.io/feed.xml,Asia/Seoul,,1,
센드버드,https://sendbird.com/ko/blog,html_list,https://sendbird.com/ko/blog,,"{""article_regex"": ""^/blog/[^/]+/?$"", ""date_from"": ""detail""}",1,"posts date themselves on a JSON-LD WebPage node, not an Article one"
스포카,https://spoqa.github.io/,feed,https://spoqa.github.io/atom.xml,Asia/Seoul,,1,
타다,https://blog-tech.tadatada.com/,embedded,https://blog-tech.tadatada.com/,Asia/Seoul,"{""source"": ""rsc"", ""url_template"": ""https://blog-tech.tadatada.com/articles/{slug}""}",1,article list lives deep in the RSC payload; records carry a slug
바비톡,https://medium.com/babitalk-blog,feed,https://medium.com/feed/babitalk-blog,,,1,
비브로스(굿닥),https://boostbrothers.github.io/,feed,https://boostbrothers.github.io/rss.xml,,,1,
화해,https://blog.hwahae.co.kr/,feed,https://blog.hwahae.co.kr/rss.xml,Asia/Seoul,,1,
AITRICS,https://medium.com/aitrics,feed,https://medium.com/feed/aitrics,,,1,
뱅크샐러드,https://blog.banksalad.com/,feed,https://blog.banksalad.com/rss.xml,Asia/Seoul,,1,
마키나락스,https://makinarocks.github.io/,feed,https://makinarocks.github.io/feed,,,1,
하이퍼엑셀,https://hyper-accel.github.io/,feed,https://hyper-accel.github.io/index.xml,,,1,
업스테이지,https://www.upstage.ai/blog,html_list,https://www.upstage.ai/blog,Asia/Seoul,"{""article_regex"": ""^/blog/en/[^/]+/?$"", ""date_from"": ""list""}",1,
래블업,https://www.lablup.com/blog,html_list,https://www.lablup.com/blog,Asia/Seoul,"{""article_regex"": ""^/blog/[^/]+/[^/]+/?$"", ""date_from"": ""detail""}",1,
Sionic AI,https://blog.sionic.ai/,html_list,https://blog.sionic.ai/,Asia/Seoul,"{""article_regex"": ""^/[^/]+/?$"", ""date_from"": ""list""}",1,unparsed: no URL shape on the page resolves to an article
인포그랩,https://insight.infograb.net/blog/,feed,https://insight.infograb.net/blog/rss.xml,Asia/Seoul,,1,
레몬베이스,https://blog.lemonbase.team/,feed,https://blog.lemonbase.team/feed,Asia/Seoul,,1,
OpenAI,https://openai.com/research/,feed,https://openai.com/news/rss.xml,,,1,one feed covers news and research; filter by URL if research-only is wanted
Anthropic,https://www.anthropic.com/research,html_list,https://www.anthropic.com/research,,"{""article_regex"": ""/research/[^/]+"", ""date_from"": ""list"", ""extra_sources"": [{""url"": ""https://www.anthropic.com/news"", ""article_regex"": ""/news/[^/]+"", ""title_strip"": "" | Anthropic""}]}",1,app-router RSC payload holds no clean record list; the rendered cards carry Aug 10 2026 style dates. research and news are separate sections with different URL shapes
Google,https://developers.googleblog.com/,feed,https://developers.googleblog.com/feed,,"{""date_from"": ""detail""}",1,feed items carry no date element at all; the date is JSON-LD on the article page
Google Research,https://research.google/blog/,feed,https://research.google/blog/rss,,,1,feed description carries the category label rather than a real subtitle
Google DeepMind,https://deepmind.google/discover/blog/,feed,https://deepmind.google/discover/blog/feed,,,1,
Meta,https://engineering.fb.com/,feed,https://engineering.fb.com/feed/,,,1,author field is present but empty
Apple ML Research,https://machinelearning.apple.com/,feed,https://machinelearning.apple.com/rss.xml,,,1,
Microsoft,https://devblogs.microsoft.com/,feed,https://devblogs.microsoft.com/feed,,,1,
AWS,https://aws.amazon.com/blogs/architecture/,feed,https://aws.amazon.com/blogs/architecture/feed/,,,1,
Amazon Science,https://www.amazon.science/blog,html_list,https://www.amazon.science/blog,,"{""article_regex"": ""^/[^/]+/[^/]+/?$"", ""date_from"": ""list""}",1,
NVIDIA,https://developer.nvidia.com/blog/,feed,https://developer.nvidia.com/blog/feed,,,1,
Netflix,https://netflixtechblog.com/,feed,https://netflixtechblog.com/feed,,,1,Medium on a custom domain
Spotify,https://engineering.atspotify.com/,feed,https://engineering.atspotify.com/feed,,,1,
Airbnb,https://airbnb.tech/,feed,https://airbnb.tech/feed/,,,1,
Uber,https://www.uber.com/blog/engineering/,html_list,https://www.uber.com/blog/engineering/,,"{""article_regex"": ""^/blog/[^/]+/?$"", ""date_from"": ""list""}",1,"localizes by IP: /kr/ko/blog/... from Seoul, /blog/... elsewhere"
Lyft,https://eng.lyft.com/,feed,https://eng.lyft.com/feed,,,1,
DoorDash,https://doordash.engineering/,feed,https://careersatdoordash.com/feed/,,,1,unreachable from CI: 403 to datacenter addresses; collects fine from Korea
Instacart,https://tech.instacart.com/,feed,https://tech.instacart.com/feed,,,1,
Grab,https://engineering.grab.com/,feed,https://engineering.grab.com/feed.xml,,,1,
LinkedIn,https://engineering.linkedin.com/blog,html_list,https://www.linkedin.com/blog/engineering/research,,"{""article_regex"": ""^/blog/engineering/[^/]+/[^/]+$"", ""date_from"": ""list"", ""extra_sources"": [""https://www.linkedin.com/blog/engineering/data-science"", ""https://www.linkedin.com/blog/engineering/recommendations"", ""https://www.linkedin.com/blog/engineering/natural-language-processing"", ""https://www.linkedin.com/blog/engineering/responsible-ai"", ""https://www.linkedin.com/blog/engineering/distributed-systems"", ""https://www.linkedin.com/blog/engineering/data-streaming-processing"", ""https://www.linkedin.com/blog/engineering/scalability""]}",1,index is client-side and so are the AI-named sections; these eight category pages are server-rendered and date their cards
Pinterest,https://medium.com/@Pinterest_Engineering,feed,https://medium.com/feed/@Pinterest_Engineering,,,1,
Slack,https://slack.engineering/,feed,https://slack.engineering/feed,,,1,
Dropbox,https://dropbox.tech/,feed,https://dropbox.tech/feed,,,1,
GitHub,https://github.blog/engineering/,feed,https://github.blog/feed/,,,1,
GitLab,https://about.gitlab.com/blog/categories/engineering/,feed,https://about.gitlab.com/releases.xml,,,1,
Atlassian,https://www.atlassian.com/engineering,feed,https://www.atlassian.com/blog/comments/feed,,,0,excluded by request
Notion,https://www.notion.com/blog/topic/engineering,html_list,https://www.notion.com/ko/blog/topic/engineering,,"{""article_regex"": ""^/blog/[^/]+/?$"", ""date_from"": ""detail""}",1,serves the Korean locale because Accept-Language asks for it; paths carry /ko
Figma,https://www.figma.com/blog/engineering/,html_list,https://www.figma.com/blog/everything/,,"{""article_regex"": ""^/blog/[^/]+/?$"", ""date_from"": ""detail"", ""title_strip"": "" | Figma Blog"", ""max_articles"": 90}",1,"listing puts its category links first, so the article budget has to clear them"
Canva,https://www.canva.dev/blog/engineering/,feed,https://www.canva.dev/blog/engineering/feed.xml,,,1,
Shopify,https://shopify.engineering/,html_list,https://shopify.engineering/,,"{""article_regex"": ""^/[^/]+/?$"", ""date_from"": ""detail"", ""title_strip"": "" - Shopify""}",1,unparsed: listing is client-side; the sitemap has no per-post lastmod either
Plaid,https://plaid.com/blog/,feed,https://plaid.com/blog/rss.xml,,,1,
Wise,https://medium.com/wise-engineering,feed,https://medium.com/feed/wise-engineering,,,1,
Monzo,https://monzo.com/blog/technology,feed,https://monzo.com/feed.xml,,,1,
Databricks,https://www.databricks.com/blog/category/engineering,feed,https://www.databricks.com/blog/category/engineering/feed.xml,,,1,
Snowflake,https://www.snowflake.com/en/engineering-blog/,feed,https://www.snowflake.com/feed,,,1,
Confluent,https://www.confluent.io/blog/,feed,https://www.confluent.io/rss.xml,,,1,
Elastic,https://www.elastic.co/blog/,feed,https://www.elastic.co/blog/feed,,,1,
ClickHouse,https://clickhouse.com/blog/,feed,https://clickhouse.com/rss.xml,,,1,
Cockroach Labs,https://www.cockroachlabs.com/blog/,feed,https://www.cockroachlabs.com/rss.xml,,,1,
TigerData,https://www.tigerdata.com/blog,feed,https://www.tigerdata.com/blog/feed,,,1,
MongoDB,https://www.mongodb.com/blog,feed,https://www.mongodb.com/blog/rss,,,1,
Redis,https://redis.io/blog/,feed,https://redis.io/blog/feed,,,1,
Neo4j,https://neo4j.com/blog/,feed,https://neo4j.com/blog/feed,,,1,
Supabase,https://supabase.com/blog,feed,https://supabase.com/rss.xml,,,1,
Docker,https://www.docker.com/blog/,feed,https://www.docker.com/feed/,,,1,
Red Hat,https://developers.redhat.com/articles,feed,https://developers.redhat.com/blog/feed,,,1,
JetBrains,https://blog.jetbrains.com/,feed,https://blog.jetbrains.com/feed/,,,1,
Datadog,https://www.datadoghq.com/blog/engineering/,feed,https://www.datadoghq.com/blog/engineering/index.xml,,,1,
Grafana Labs,https://grafana.com/blog/,feed,https://grafana.com/blog/index.xml,,,1,
Salesforce,https://engineering.salesforce.com/,feed,https://engineering.salesforce.com/feed/,,,1,
Palantir,https://blog.palantir.com/,feed,https://blog.palantir.com/feed,,,1,
Hugging Face,https://huggingface.co/blog,feed,https://huggingface.co/blog/feed.xml,,,1,
LangChain,https://www.langchain.com/blog,feed,https://www.langchain.com/blog/rss.xml,,,1,
LlamaIndex,https://www.llamaindex.ai/blog,html_list,https://www.llamaindex.ai/blog,,"{""article_regex"": ""^/blog/[^/]+/?$"", ""date_from"": ""list""}",1,
Cohere,https://cohere.com/blog,html_list,https://cohere.com/blog,,"{""article_regex"": ""^/blog/[^/]+/?$"", ""date_from"": ""detail""}",1,
Mistral AI,https://mistral.ai/news,feed,https://mistral.ai/news/rss,,,1,
Together AI,https://www.together.ai/blog,feed,https://www.together.ai/blog/rss.xml,,,1,
Replicate,https://replicate.com/blog,feed,https://replicate.com/blog/rss,,,1,
Weights & Biases,https://wandb.ai/fully-connected,feed,https://wandb.ai/fully-connected/rss.xml,,,1,
Perplexity,https://www.perplexity.ai/hub/blog,html_list,https://www.perplexity.ai/hub/blog,,"{""article_regex"": ""^/hub/blog/[^/]+/?$"", ""date_from"": ""list""}",1,
ElevenLabs,https://elevenlabs.io/blog,html_list,https://elevenlabs.io/blog,,"{""article_regex"": ""^/blog/[^/]+/?$"", ""date_from"": ""detail""}",1,
Instagram,https://about.instagram.com/blog/,feed,https://about.instagram.com/feed,,,1,
Medium,https://medium.engineering/,feed,https://medium.engineering/feed,,,1,
Indeed,https://engineering.indeedblog.com/,feed,https://engineering.indeedblog.com/feed/,,,1,
